,doc_id,source,investigation_num,modified_title,modified_creator,modified_modified,modified_occurence_date,modified_release_date,doc_length
23,23,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21h0087/r21h0087.html,R21H0087,Railway Investigation Report R01T0006 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-08,16 January 2001,16 July 2003,1568
24,24,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21v0144/r21v0144.html,R21V0144,Railway Investigation Report R01T0129 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-08,9 May 2001,03 October 2001,2068
25,25,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21v0143/r21v0143.html,R21V0143,Railway Investigation Report R01T0255 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-08,24 September 2001,17 December 2002,1068
26,26,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21v0118/r21v0118.html,R21V0118,Railway Investigation Report R01W0007 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-08,8 January 2001,12 February 2003,4914
27,27,https://tsb.gc.ca/eng/enquetes-investigations/rail/2020/r20h0082/r20h0082.html,R20H0082,Railway Investigation Report R01W0182 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-11,1 October 2001,06 May 2003,2626
28,28,https://tsb.gc.ca/eng/enquetes-investigations/rail/2020/r20d0088/r20d0088.html,R20D0088,Railway Investigation Report R02C0013 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-11,3 March 2002,17 December 2002,1381
29,29,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21t0007/r21t0007.html,R21T0007,Railway Investigation Report R02C0022 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-11,24 March 2002,18 June 2003,1728
30,30,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21m0002/r21m0002.html,R21M0002,Railway Investigation Report R02C0050 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-14,8 July 2002,13 July 2004,3632
31,31,https://tsb.gc.ca/eng/enquetes-investigations/rail/2021/r21d0001/r21d0001.html,R21D0001,Railway Investigation Report R02C0054 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-14,23 July 2002,02 June 2003,2292
32,32,https://tsb.gc.ca/eng/enquetes-investigations/rail/2020/r20v0230/r20v0230.html,R20V0230,Railway Investigation Report R02D0069 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-14,3 July 2002,16 February 2004,1354
33,33,https://tsb.gc.ca/eng/enquetes-investigations/rail/2020/r20h0130/r20h0130.html,R20H0130,Railway Investigation Report R02D0113 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-14,24 October 2002,13 July 2004,1062
34,34,https://tsb.gc.ca/eng/enquetes-investigations/rail/2020/r20v0185/r20v0185.html,R20V0185,Railway Investigation Report R02E0114 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2016-04-14,4 December 2002,22 September 2004,3596
